,pathKey,pathName,location1Key,location1Name,location2Key,location2Name
20,Path(4808357172477952),Arena Hallway #3 - Reward Room,Location(6462885076664320),Reward Room,Location(5691962943864832),Arena Hallway
21,Path(5690131510984704),Shrine to escape,Location(5817171396526080),Shrine of Na'Kareth,Location(4703217505009664),Dead Jungles
22,Path(6021973825028096),Long Hallway to Shrine,Location(5817171396526080),Shrine of Na'Kareth,Location(5037373275504640),Long Hallway
23,Path(5421159386972160),Aseridith Fort West Beach - Aseridith Fort South Beach,Location(6206475493965824),Aseridith Fort South Beach,Location(4736790432841728),Aseridith Fort West Beach
24,Path(5342375519977472),Aseridith Fort East Beach - Aseridith Fort South Beach,Location(6206475493965824),Aseridith Fort South Beach,Location(6719807435046912),Aseridith Fort East Beach
25,Path(6304855746412544),Aseridith Fort South Beach - Aseridith Fort Outer Southern Walls,Location(6206475493965824),Aseridith Fort South Beach,Location(5688387279257600),Aseridith Fort Outer Southern Walls
26,Path(4611681256734720),Aseridith Fort South Beach - Hidden Cave Entrance,Location(6206475493965824),Aseridith Fort South Beach,Location(6752176053420032),Hidden Cave Entrance
27,Path(5297976193056768),Lagoon's Descent - Shallow Pool,Location(6200083758710784),Lagoon's Descent,Location(5723273719709696),Shallow Pool
28,Path(6464494209597440),Underwater Lagoon - Lagoon's Descent,Location(6200083758710784),Lagoon's Descent,Location(5428021293219840),Underwater Lagoon
29,Path(4918431154438144),"Second Floor Staircase, Narrow Passageway",Location(5033469437542400),Narrow Passageway,Location(5120374762110976),Second Floor Staircase
30,Path(5774831258697728),"Narrow Passageway, Summoning Chamber",Location(5033469437542400),Narrow Passageway,Location(6293882619822080),Summoning Chamber
31,Path(4948096899350528),Canyon-Cave,Location(6632273700978688),Canyon Cave Entrance,Location(5180093517266944),Sun Baked Canyon
32,Path(5886715025686528),CanyonEntrance-Cavern,Location(6632273700978688),Canyon Cave Entrance,Location(5689576630779904),Immense Cavern
33,Path(5696774480068608),Tunnel Climb - Tunnel Climb,Location(4887533922025472),Tunnel Climb,Location(4769608749809664),Tunnel Climb
34,Path(5117769267806208),Tunnel Climb - Tunnel Climb,Location(4887533922025472),Tunnel Climb,Location(5691920898588672),Tunnel Climb
35,Path(5381765237571584),Tunnel Climb - Tunnel Climb,Location(4887533922025472),Tunnel Climb,Location(5328988679438336),Tunnel Climb
36,Path(6536345828720640),Tunnel Climb - Tunnel Climb,Location(4887533922025472),Tunnel Climb,Location(4785609382035456),Tunnel Climb
37,Path(6045675607293952),Crypt Hub - Lower Crypt,Location(4682546134646784),Lower Crypt,Location(6589065205907456),Crypt Hub
38,Path(4928872235925504),Lizardfolk Marsh - Hidden Path,Location(4675290055835648),Lizardfolk Marshland,Location(6304554086039552),Hidden Path
39,Path(6650262248751104),Kujir Marsh5 - Lizardfolk Marshland1,Location(4675290055835648),Lizardfolk Marshland,Location(6608541406199808),Kujir Marsh
40,Path(5066577749737472),Lizardfolk Marshland1 - Lizardfolk Marshland2,Location(4675290055835648),Lizardfolk Marshland,Location(5369435355348992),Lizardfolk Marshland
41,Path(5178599057653760),Taelhollow Hut - Professor Grenolio,Location(5843284484161536),Taelhollow Hut,Location(5399087797239808),Professor Grenolio
42,Path(4663561120907264),Taelhollow Hut,Location(5843284484161536),Taelhollow Hut,Location(6044610405072896),Taelhollow Swamp
43,Path(6220790749462528),Rocky Hill 2 - Rocky Hill 3,Location(6312520429600768),Rocky Hill,Location(6641283818323968),Rocky Hill
44,Path(6429725255270400),Rocky Hill 3 - Rocky Hill 4,Location(6312520429600768),Rocky Hill,Location(5896838059655168),Rocky Hill
45,Path(5904895362203648),Sewer Tunnel Entrance - Sewer Tunnel,Location(6281973190361088),Sewer Tunnel Entrance,Location(6253812801077248),Sewer Tunnel
46,Path(4810246027476992),Sewer Tunnel Entrance - Aera Inn Basement,Location(6281973190361088),Sewer Tunnel Entrance,Location(5356285457334272),Aera Inn Basement - South
47,Path(6032814095990784),Well-Traveled Trail - Nomad Camp Perimeter,Location(4685631031607296),Well-Traveled Trail,Location(6729289851469824),Nomad Camp Perimeter
48,Path(5571192051204096),Rolling Dunes 5 - Well-Traveled Trail,Location(4685631031607296),Well-Traveled Trail,Location(5443293981704192),Rolling Dunes
49,Path(5850610859769856),Barracks - General's Quarters,Location(5820272351641600),General's Quarters,Location(4993749247852544),Barracks
50,Path(4764714213048320),wastes1-4,Location(5056691190104064),Burning Wastes,Location(4567038813011968),Burning Wastes
51,Path(6727758124154880),wastesentrance,Location(5056691190104064),Burning Wastes,Location(6062193298636800),Wasteland Overlook
52,Path(5979686104465408),wastes 1-2,Location(5056691190104064),Burning Wastes,Location(4851296928530432),Burning Wastes
53,Path(6306180206952448),Aseridith Fort Warehouse 2 - Aseridith Fort Secret Passage 1 (1 of 2),Location(6498136254054400),Aseridith Fort Warehouse,Location(6317536905789440),Aseridith Fort Secret Passage
54,Path(5126347322032128),Aseridith Fort Warehouse 1 - Aseridith Fort Warehouse 2,Location(6498136254054400),Aseridith Fort Warehouse,Location(6652458455531520),Aseridith Fort Warehouse
55,Path(5480657020518400),Mineshaft 6 to Cavern Entryway,Location(6748028989341696),Mineshaft,Location(6516437776072704),Cavern Atrium
56,Path(5999888233398272),Mineshaft 5 to Mineshaft 6,Location(6748028989341696),Mineshaft,Location(4683731928875008),Mineshaft
57,Path(6344889570164736),Artius Lane - Kobold Camp,Location(6510382176272384),Kobold Camp,Location(4891495303741440),Artius Lane
58,Path(6746402551496704),East Bridge - Open Courtyard,Location(5305761816641536),East Bridge,Location(4878368132038656),Open Courtyard
59,Path(6293876681211904),Secluded Spring to Forest Encampment,Location(4992992693190656),Secluded Spring,Location(4857543114883072),Forest Encampment
60,Path(5017422601388032),Feeder Stream to Secluded Spring,Location(4992992693190656),Secluded Spring,Location(4708530482839552),Feeder Stream
61,Path(4623240843493376),"Third Floor Staircase, Alchemist Quarters",Location(5444270617001984),Third Floor Staircase,Location(4967743391531008),Alchemist Quarters
62,Path(5356968804876288),"Grand Mage's Quarters, Third Floor Staircase",Location(5444270617001984),Third Floor Staircase,Location(4579063346757632),Archmage's Quarters
63,Path(5230048050151424),"Fourth Floor Landing, Third Floor Staircase",Location(5444270617001984),Third Floor Staircase,Location(4942150822264832),Fourth Floor Landing
64,Path(5699367716519936),"Third Floor Staircase, Armory",Location(5444270617001984),Third Floor Staircase,Location(6343937617821696),Armory
65,Path(5193795407183872),Tunnel Fork - Damp Tunnel,Location(6415851780046848),Damp Tunnel,Location(5968272768368640),Tunnel Fork
66,Path(4979902546182144),Damp Tunnel - Wet Tunnel,Location(6415851780046848),Damp Tunnel,Location(5093891984850944),Wet Tunnel
67,Path(6405368457986048),Bandit Fort Courtyard - Bandit's Storage Room,Location(5818217706029056),Bandit's Storage Room,Location(4945141049065472),Bandit Fort Courtyard
68,Path(5583700549435392),Grand Tree Arch - River Rock road,Location(5169038100004864),Grand Tree Arch,Location(6689992051523584),River Rock Road
69,Path(5912063163760640),Grand Tree Arch - Grand Tree,Location(5169038100004864),Grand Tree Arch,Location(5059145942433792),Grand Tree
70,Path(6555560453865472),Grand Tree Arch - Jachums Steps,Location(5169038100004864),Grand Tree Arch,Location(4713648428154880),Jachum's Steps
71,Path(6680318216503296),Glowworm Cavern Passage - Stony Creekbed,Location(4770947488284672),Stony Creekbed,Location(6175040815497216),Glowworm Cavern Passage
72,Path(4590975675006976),Stony Creekbed - Icy Crevice,Location(4770947488284672),Stony Creekbed,Location(6135225797574656),Icy Crevice
73,Path(5485358456766464),Rough Tunnel - Marble Entryway,Location(4889410303164416),Rough Tunnel,Location(5723021814267904),Marble Entryway
74,Path(4905666183954432),Cavern Lowlands - Rough Tunnel,Location(4889410303164416),Rough Tunnel,Location(6097270970253312),Cavern Lowlands
75,Path(5398765569572864),North West Hills - The Fork,Location(4662743332290560),The Fork,Location(5757649010294784),North West Hills
76,Path(6178590701912064),The Fork - Spider Cave Cavern,Location(4662743332290560),The Fork,Location(5967326629330944),Spider Cave Cavern
77,Path(6487503003451392),The Fork - High Road,Location(4662743332290560),The Fork,Location(5437912854298624),High Road
78,Path(6244172406194176),Marcusville - Museum of Marcus,Location(5878764641714176),Museum of Marcus,Location(4554371022979072),Marcusville
79,Path(5321578908745728),Selene Plateau - Perigee Peak,Location(6015068596600832),Selene Plateau,Location(4607732636188672),Perigee Peak
80,Path(5952587115266048),Shadowy Steppe - Selene Plateau,Location(6015068596600832),Selene Plateau,Location(5560262966902784),Shadowy Steppe
81,Path(5297271407116288),Selene Plateau - Umbra Abode,Location(6015068596600832),Selene Plateau,Location(6553688768249856),Umbra Abode
82,Path(6086377854992384),Xaruk Forest 5 - Xaruk Forest 6,Location(6258957962444800),Xaruk Forest,Location(5174341147033600),Xaruk Forest
83,Path(4817053689315328),Xaruk Forest 2 - Xaruk Forest 6,Location(6258957962444800),Xaruk Forest,Location(5557842132336640),Xaruk Forest
84,Path(5382690413215744),Xaruk Forest 4 - Xaruk Forest 6,Location(6258957962444800),Xaruk Forest,Location(6373434477248512),Xaruk Forest
85,Path(4970577778442240),Smoldering Mountain Ascent - Smoldering Mountain Peak,Location(6166816767344640),Smoldering Mountain Ascent,Location(5115476184137728),Smoldering Mountain Peak
86,Path(5064678230196224),Smoldering Mountain - Smoldering Mountain Ascent,Location(6166816767344640),Smoldering Mountain Ascent,Location(5549152453787648),Smoldering Mountain
87,Path(5649472482967552),Endless Tunnel 1 - Endless Tunnel 2,Location(5297402739425280),Endless Tunnel,Location(6118406474694656),Endless Tunnel
88,Path(5705717092974592),Main Corridor - Endless Tunnel 1,Location(5297402739425280),Endless Tunnel,Location(6426849307787264),Main Corridor
89,Path(5964522001006592),Aseridith Fort Gates - Aseridith Fort Courtyard 1,Location(4942707271139328),Aseridith Fort Courtyard,Location(4794925902200832),Aseridith Fort Gates
90,Path(6195765481308160),Aseridith Fort Courtyard 1 - Aseridith Fort Garrison,Location(4942707271139328),Aseridith Fort Courtyard,Location(5698451486539776),Aseridith Fort Garrison
91,Path(5647126870622208),Aseridith Fort Courtyard 1 - Aseridith Fort Marketplace,Location(4942707271139328),Aseridith Fort Courtyard,Location(5943675035058176),Aseridith Fort Marketplace
92,Path(4863509013725184),Aseridith Fort Courtyard 1 - Aseridith Fort Courtyard 2,Location(4942707271139328),Aseridith Fort Courtyard,Location(4682133618556928),Aseridith Fort Courtyard
93,Path(4707759295561728),Old Mine 10 Southwest to South,Location(5422939977547776),Old Mine,Location(6286945395146752),Old Mine
94,Path(6545705977511936),Bandit Lair Entrance - Bandit Fort Courtyard,Location(6200435167199232),Bandit's Lair Entrance,Location(4945141049065472),Bandit Fort Courtyard
95,Path(6323022123761664),Hidden Trail - Bandit's Lair Entrance,Location(6200435167199232),Bandit's Lair Entrance,Location(5262209627717632),Hidden Trail
96,Path(5908807754711040),Script Arena Reward Room #2 - Script Arena Entrance,Location(4924288943783936),Volantis Arena,Location(5802924630605824),Reward Room
97,Path(5111225516294144),Script Arena Reward Room #1 - Script Arena Entrance,Location(4924288943783936),Volantis Arena,Location(5815605253111808),Reward Room
98,Path(4544280001773568),Script Arena Reward Room #4 - Script Arena Entrance,Location(4924288943783936),Volantis Arena,Location(6016207203598336),Reward Room
99,Path(5044238924644352),Volantis to Script Arena,Location(4924288943783936),Volantis Arena,Location(5546617318932480),Volantis
100,Path(6480621077790720),Script Arena Reward Room #3 - Script Arena Entrance,Location(4924288943783936),Volantis Arena,Location(4625866026123264),Reward Room
101,Path(5887043394076672),Stalagmite Cavern - Cavern Lowlands,Location(6097270970253312),Cavern Lowlands,Location(6360201016377344),Stalagmite Cavern
102,Path(6637629194371072),Cavern Lowlands - Drider Spawning Ground,Location(6097270970253312),Cavern Lowlands,Location(5566908544319488),Drider Spawning Ground
103,Path(6745535430524928),Forest Trail - Eerie Glade,Location(5993303047143424),Forest Trail,Location(6067293019176960),Eerie Glade
104,Path(5859138502918144),Forest Trail - Forest Trail,Location(5993303047143424),Forest Trail,Location(6452474611761152),Forest Trail
105,Path(4804280328912896),Infested Tunnel - Baron Cricketon's Lair,Location(5668612348575744),Infested Tunnel,Location(5313707255529472),Baron Cricketon's Lair
106,Path(6270542888304640),Cricketon Cave - Infested Tunnel,Location(5668612348575744),Infested Tunnel,Location(5670665024176128),Cricketon Cave
107,Path(6361219796041728),Seafall - Tunnel Construction,Location(6265261703823360),Seafall,Location(6071858521178112),Tunnel Construction
108,Path(5105010682101760),Secluded Waterfall - Crystal Cave Pool,Location(6565922299445248),Crystal Cave Pool,Location(6227591015432192),Secluded Waterfall
109,Path(6291342835056640),Goliath Gulch Basin - Gulch Valley Skirmish Lines,Location(6100482340159488),Goliath Gulch Basin,Location(5554420198146048),Gulch Valley Skirmish Lines
110,Path(6304540195815424),Goliath Gulch Fork - Goliath Gulch Basin,Location(6100482340159488),Goliath Gulch Basin,Location(6662145816657920),Goliath Gulch Fork
111,Path(6282801204690944),Cavern-Crevice,Location(5689576630779904),Immense Cavern,Location(6493907437223936),Claw Marked Crevice
112,Path(5643889981784064),Black Vanguard Camp Outskirts - Black Vanguard Camp,Location(6241705674407936),Black Vanguard Camp Outskirts,Location(6448560694624256),Black Vanguard Camp
113,Path(4956338631737344),Fisherman's Ferry 3 - Aseridith Island Docks,Location(4844226355396608),Aseridith Island Docks,Location(6298913263321088),Fisherman's Ferry
114,Path(5159002897907712),Aseridith Island Docks - Aseridith Fort North Beach,Location(4844226355396608),Aseridith Island Docks,Location(6174236932571136),Aseridith Fort North Beach
115,Path(6383179836948480),Arena Pit #3 - Arena Hallway #7,Location(6305841904353280),Arena Pit #3,Location(5820229883527168),Arena Hallway
116,Path(6431780613128192),Hallway #6 - Arena Pit #3,Location(6305841904353280),Arena Pit #3,Location(4951368334311424),Arena Hallway
117,Path(6320112855941120),Arena Pit # 3 - Arena Hallway To Reward Room,Location(6305841904353280),Arena Pit #3,Location(6636087694327808),Arena Hallway
118,Path(5795793557520384),"Third Floor Landing, Second Floor Staircase",Location(5120374762110976),Second Floor Staircase,Location(4514844928638976),Third Floor Landing
119,Path(5129806829060096),"Second Floor Staircase, Potions Laboratory",Location(5120374762110976),Second Floor Staircase,Location(4611092757086208),Potions Laboratory
120,Path(5742443771199488),Oasis - Town,Location(6306125748109312),Spargus,Location(5286485966192640),Oasis
121,Path(6744670363189248),Spargus Town Hall,Location(6306125748109312),Spargus,Location(5935764762263552),Spargus Town Hall
122,Path(5936885173059584),Spargus - Northern Spargus Gate,Location(6306125748109312),Spargus,Location(5205846171582464),Northern Spargus Gate
123,Path(5967236603052032),Wastelander's Rest Stop Beer Link,Location(6306125748109312),Spargus,Location(4792555382243328),Wastelander's Rest Stop
124,Path(6739232896319488),Spargus - Antique Shop,Location(6306125748109312),Spargus,Location(5153843429507072),Antique Shop
125,Path(6442102582935552),Tunnel to Station,Location(4714951546503168),Troll Dig,Location(5549972914176000),Troll Dig: Guard Station
126,Path(5286275343974400),Passage to Dark Tunnel,Location(4714951546503168),Troll Dig,Location(5984081901780992),Troll Dig
127,Path(6115090368561152),Abandoned Castle - Underground Cave,Location(5235459155296256),Underground Cave,Location(5456818943819776),Abandoned Castle
128,Path(5386207538184192),Alderai Coast2 - Alderai Coast3,Location(4852836756094976),Alderai Coast,Location(4966011023392768),Alderai Coast
129,Path(6236381886021632),Alderai Coast1 - Alderai Coast2,Location(4852836756094976),Alderai Coast,Location(4719915504238592),Alderai Coast
130,Path(5199760374104064),Xaruk Forest 7 - Xaruk,Location(4905123335897088),Xaruk,Location(5854320235118592),Xaruk Forest
131,Path(4587167980716032),Xaruk - Xaruk Outskirts,Location(4905123335897088),Xaruk,Location(6412814696841216),Xaruk Outskirts
132,Path(6311940813225984),Xaruk - Great Goblin Fortress of Xaruk,Location(4905123335897088),Xaruk,Location(4939142698106880),Great Goblin Fortress of Xaruk
133,Path(5389060373741568),Behemoth Boss,Location(6527010146877440),Combat Site: Shadow of a Behemoth,Location(6616739106258944),Northern Hills
134,Path(5935040569016320),Aphelion Shrine Inner Sanctum - Aphelion Shrine Repository,Location(5332609262944256),Aphelion Shrine Inner Sanctum,Location(4639225850363904),Aphelion Shrine Repository
135,Path(5250733764509696),Aphelion Shrine Sanctum - Aphelion Shrine inner Sanctum,Location(5332609262944256),Aphelion Shrine Inner Sanctum,Location(5855864457527296),Aphelion Shrine Sanctum
136,Path(5684062809227264),Aseridith Keep Kitchen - Aseridith Keep Grand Hall,Location(5091279719366656),Aseridith Keep Kitchen,Location(5664073469394944),Aseridith Keep Grand Hall
137,Path(5192799056035840),Aseridith Keep Kitchen Storage - Aseridith Keep Kitchen,Location(5091279719366656),Aseridith Keep Kitchen,Location(5157551064743936),Aseridith Keep Kitchen Storage
138,Path(5524801745059840),Larvae pit- Queens chambers,Location(5816308691632128),Queens Chambers,Location(5428489900523520),Larvae Pit
139,Path(6690669415890944),Obsidian Passageway - Sacrosanct Pathway,Location(6730589667852288),Obsidian Passageway,Location(5457132737003520),Sacrosanct Pathway
140,Path(5339965760733184),Tunnel Fork - Obsidian Passageway,Location(6730589667852288),Obsidian Passageway,Location(5968272768368640),Tunnel Fork
141,Path(5373645878722560),Marcus Sent Me,Location(5954978829041664),Elven Grove,Location(5922422976937984),Elven Grove
142,Path(5632420174888960),Mountain Plains - Elven Grove,Location(5954978829041664),Elven Grove,Location(6530427779022848),Mountain Plains
143,Path(5349510444220416),Give Me the Key,Location(5954978829041664),Elven Grove,Location(5098477256179712),Elven Grove
144,Path(6025675355979776),Aseridith Fort Secret Passage 1 - Aseridith Fort Secret Passage 2,Location(6317536905789440),Aseridith Fort Secret Passage,Location(6002887601684480),Aseridith Fort Secret Passage
145,Path(6455848717516800),Aseridith Fort Secret Passage 1 - Aseridith Fort Outer Eastern Walls,Location(6317536905789440),Aseridith Fort Secret Passage,Location(6211039030935552),Aseridith Fort Outer Eastern Walls
146,Path(5254774019588096),"First Floor Staircase, Apprentice Training Room",Location(6633339873132544),First Floor Staircase,Location(5345871483895808),Apprentice Training Room
147,Path(5806879516131328),"Second Floor Landing, First Floor Staircase",Location(6633339873132544),First Floor Staircase,Location(5909134097514496),Second Floor Landing
148,Path(5260299615600640),Hills-Plains,Location(5576958964400128),Canyonside Plains,Location(5757649010294784),North West Hills
149,Path(6191672031444992),Plains-Canyon,Location(5576958964400128),Canyonside Plains,Location(5180093517266944),Sun Baked Canyon
150,Path(5273659868446720),Aseridith Fort Outer Western Walls - Aseridith Fort Gates,Location(4794925902200832),Aseridith Fort Gates,Location(6401380170334208),Aseridith Fort Outer Western Walls
151,Path(4994005286780928),Aseridith Fort North Beach - Aseridith Fort Gates,Location(4794925902200832),Aseridith Fort Gates,Location(6174236932571136),Aseridith Fort North Beach
152,Path(5121140593786880),Aseridith Fort Outer Eastern Walls - Aseridith Fort Gates,Location(4794925902200832),Aseridith Fort Gates,Location(6211039030935552),Aseridith Fort Outer Eastern Walls
153,Path(5088549730779136),Aseridith Keep Hallway - Aseridith Keep Grand Hall,Location(5664073469394944),Aseridith Keep Grand Hall,Location(5755749009457152),Aseridith Keep Hallway
154,Path(4798314899832832),Aseridith Keep Grand Hall - Aseridith Knights Quarters,Location(5664073469394944),Aseridith Keep Grand Hall,Location(5638699607916544),Aseridith Knights' Quarters
155,Path(4928120265113600),"Potions Laboratory, Herbal Garden",Location(4611092757086208),Potions Laboratory,Location(4898631959183360),Herb Garden
156,Path(6400101791563776),"Potions Laboratory, East Library",Location(4611092757086208),Potions Laboratory,Location(6571276102533120),East Library
157,Path(5502313118040064),Rocky Hill 1 - Rocky Hill 2,Location(6641283818323968),Rocky Hill,Location(4902833796677632),Rocky Hill 1
158,Path(5356859223441408),Aseridith Fort Marketplace - Aseridith Fort Warehouse 1,Location(6652458455531520),Aseridith Fort Warehouse,Location(5943675035058176),Aseridith Fort Marketplace
159,Path(5179701860499456),Tutorial 4 - Tutorial 5,Location(4884350649761792),Training Center,Location(5735665915396096),Training Center
160,Path(5874208356696064),Tutorial 3 - Tutorial 4,Location(4884350649761792),Training Center,Location(5156159802572800),Training Center
161,Path(6197183330123776),Kujir Marsh2 - Kujir Marsh3,Location(5262537041903616),Kujir Marsh,Location(5482641499357184),Kujir Marsh
162,Path(5189636481613824),Kujir Marsh2 - Kujir Marsh4,Location(5262537041903616),Kujir Marsh,Location(5634233376702464),Kujir Marsh
163,Path(4810025327394816),Kujir Marsh1 - Kujir Marsh2,Location(5262537041903616),Kujir Marsh,Location(5157785138364416),Kujir Marsh
164,Path(5967104662044672),Arena Hallway #7 - Arena Pit #4,Location(5820229883527168),Arena Hallway,Location(5709053514219520),Arena Pit
165,Path(4550542554562560),Old Mine 8 to Darkroom 1,Location(4696875286396928),Old Mine,Location(6346726843613184),Old Mine
166,Path(6725316936466432),Old Mine 7 to Old Mine 8,Location(4696875286396928),Old Mine,Location(5254671279063040),Old Mine
167,Path(5370718611046400),Old Mine 8 to Old Mine 9,Location(4696875286396928),Old Mine,Location(5381878680911872),Old Mine
168,Path(4892227713105920),Old Mine 8 to Darkroom 2,Location(4696875286396928),Old Mine,Location(5073501505454080),Old Mine
169,Path(5595304089878528),2 to 3,Location(6061716843528192),Lost Sea,Location(5934960010592256),Lost Sea
170,Path(6557824757792768),3 to 4,Location(6061716843528192),Lost Sea,Location(5498766890106880),Lost Sea
171,Path(4998510568538112),Winding Marsh 2 to Winding Marsh 3,Location(5813783324262400),Winding Marsh,Location(4942631349518336),Winding Marsh
172,Path(5077314276163584),Winding Marsh 1 to Winding Marsh 2,Location(5813783324262400),Winding Marsh,Location(5354999749541888),Winding Marsh
173,Path(4991484360654848),Winding Marsh 1 to Winding Marsh 7,Location(5813783324262400),Winding Marsh,Location(5976852092420096),Winding Marsh
174,Path(5235917325336576),Dark Room to South,Location(6161360358473728),Dark Room,Location(5356285457334272),Aera Inn Basement - South
175,Path(6259724433489920),Tunnel Climb - Tunnel Climb,Location(5640312605114368),Tunnel Climb,Location(5691920898588672),Tunnel Climb
176,Path(5717070482243584),Tunnel Climb - Tunnel Climb,Location(5640312605114368),Tunnel Climb,Location(5328988679438336),Tunnel Climb
177,Path(5671617816428544),Tunnel Climb - Tunnel Climb,Location(5640312605114368),Tunnel Climb,Location(5294285612122112),Tunnel Climb
178,Path(6456278149234688),FF 2 - FF 3,Location(5649584842342400),Forest Fire,Location(5395564370329600),Forest Fire
179,Path(4664422423855104),Forest Fire - FF 2,Location(5649584842342400),Forest Fire,Location(4719177888169984),Forest Fire
180,Path(5815250410536960),Old Mine 10 to Old Mine 10 - Southeast,Location(5382551514382336),Old Mine,Location(4895729587847168),Old Mine
181,Path(5181519729000448),Drub'Lak Tribe Ogre Camp - Drub'Lak General's Quarters,Location(5747008444301312),Drub'Lak General's Quarters,Location(4526915240591360),Drub'Lak Tribe Ogre Camp
182,Path(4792752694362112),Mineshaft 5 to Hatchery,Location(4918619663761408),Hatchery,Location(4683731928875008),Mineshaft
183,Path(5263999322554368),Reward Room #5 - Volantis Arena,Location(6057435877343232),Reward Room,Location(5532894400872448),Volantis Arena
184,Path(6637696914554880),Arena Hallway #12 - Arena Reward #5,Location(6057435877343232),Reward Room,Location(4921226304159744),Arena Hallway
185,Path(6568038958891008),Misty Forest - Misty Forest Goblin Camp,Location(5090658121678848),Misty Forest Goblin Camp,Location(5164584575172608),Misty Forest
186,Path(4880410312179712),Misty Forest Goblin Camp - Goblin Tent,Location(5090658121678848),Misty Forest Goblin Camp,Location(4888673191723008),Goblin Tent
187,Path(6294213936807936),Rocky Hill 4 - Rocky Hill 5,Location(5896838059655168),Rocky Hill,Location(4600623388950528),Rocky Hill
188,Path(6434098692227072),Ferry4 - Ferry3,Location(4543108142333952),Ferry,Location(6730044487499776),Ferry
189,Path(5614711341056000),Ferry - Eridis Island,Location(4543108142333952),Ferry,Location(5151329668300800),Eridis Island
190,Path(5945102596308992),Core - Gaurdian,Location(5325435842330624),Guardian of the Core,Location(5822375170932736),Core of Smoldering Mountain
191,Path(5767186791530496),Crypt Exit,Location(4759477857288192),Locked Entrance,Location(6132749391888384),Crypt Entrance
192,Path(4989141167112192),Crypt Hub - Locked Entrance,Location(4759477857288192),Locked Entrance,Location(6589065205907456),Crypt Hub
193,Path(6368227970252800),Xaruk Forest 2 - Xaruk Forest 3,Location(5557842132336640),Xaruk Forest,Location(4535180153061376),Xaruk Forest
194,Path(5926266507362304),Xaruk Forest 2 - Xaruk Forest 5,Location(5557842132336640),Xaruk Forest,Location(5174341147033600),Xaruk Forest
195,Path(5141295400222720),Xaruk Forest 1 - Xaruk Forest 2,Location(5557842132336640),Xaruk Forest,Location(5412534060580864),Xaruk Forest
196,Path(4738021473124352),Drub'Lak Tribe Ogre Camp - Drub'Lak Chieftain's Tent 1,Location(6661507124822016),Drub'Lak Chieftain's Tent,Location(4526915240591360),Drub'Lak Tribe Ogre Camp
197,Path(6309663403933696),Drub'Lak Chieftain's Tent 1 - Drub'Lak Chieftain's Tent 2,Location(6661507124822016),Drub'Lak Chieftain's Tent,Location(5469661702914048),Drub'Lak Chieftain's Tent
198,Path(6213332797751296),Wet Tunnel - Sea Cave,Location(5093891984850944),Wet Tunnel,Location(6317989675139072),Sea Cave
