KEY,location1Key,location2Key,name
Path(4655617186201600),Location(4709712366403584),Location(4933975157506048),Mausoleum of Gol'Shlanek 2 - Mausoleum of Gol'Shlanek 3
Path(4656471935549440),Location(5607707870494720),Location(5888182591684608),Path to Collection site: Stone Brick
Path(4660038291423232),Location(6380300535857152),Location(6436005187944448),Winding River - Winding River
Path(4660206705573888),Location(4585920951222272),Location(4924288943783936),Script Arena Reward Room #5 - Script Arena Entrance
Path(4662437819449344),Location(6694401946681344),Location(6148643405168640),Test me bby one more time
Path(4662656677969920),Location(5482641499357184),Location(5157785138364416),Kujir Marsh1 - Kujir Marsh3
Path(4663141436227584),Location(5855864457527296),Location(6280283730477056),Aphelion Shrine Interior - Aphelion Shrine Sanctum
Path(4663561120907264),Location(6044610405072896),Location(5843284484161536),Taelhollow Hut
Path(4664422423855104),Location(4719177888169984),Location(5649584842342400),Forest Fire - FF 2
Path(4665620742275072),Location(5558112463355904),Location(6495208090894336),Eridis Climb - Eridis Peak
Path(4666444942934016),Location(5279071746392064),Location(5443293981704192),Rolling Dunes 5 - Rolling Dunes 6
Path(4667278771093504),Location(6430490084507648),Location(5055024392044544),Darkwood 6 - Darkwood B4
Path(4669739243667456),Location(6429358555136000),Location(5312945761288192),4 to 3
Path(4672327420739584),Location(4732909075300352),Location(4942150822264832),"Strange Empty Room 4, Fourth Floor Landing"
Path(4676659160547328),Location(6655219060441088),Location(5629499534213120),Aera - Aera Inn
Path(4677604105781248),Location(6032842918199296),Location(5721210795065344),Base - Training
Path(4678430553800704),Location(6583792934322176),Location(6482245036802048),Aseridith Fort Inner Western Wall - Secret Staircase
Path(4681552148561920),Location(5594903556915200),null,Hidden Pass
Path(4681693784965120),Location(6589065205907456),Location(6422496643383296),Hidden Passage - Crypt Hub
Path(4682002288869376),Location(5277126379175936),Location(4796969436577792),Debuff Instance End 2 - 3
Path(4682506828775424),Location(6644088722948096),Location(4942150822264832),"Strange Empty Room 1, Fourth Floor Landing"
Path(4684068163682304),Location(5254671279063040),Location(6526462635016192),Old Mine 6 to Old Mine 7
Path(4688694497247232),Location(5025418272309248),Location(4580033921810432),Hidden room to Hole in the Wall
Path(4689531431288832),Location(5484053941714944),Location(5974674766823424),Aseridith Fort Guardtower 1 - Aseridith Fort Guardtower 2
Path(4691311128477696),Location(6153253135319040),Location(4819630356430848),Path to Entrance Hallway
Path(4693341951754240),Location(6360201016377344),Location(5077011949158400),Underdark Ledge - Stalagmite Cavern
Path(4695019679121408),Location(5698166736289792),Location(5855928267046912),Den to tunnel
Path(4697671302643712),Location(5795533897859072),Location(5871040932872192),Script Arena Pit #1 - Script Arena Reward Hallway #1
Path(4699078659670016),Location(4691376327884800),Location(4969103341649920),Fisherman's Seaside Cottage - Fisherman's Ferry 1
Path(4701472285786112),Location(4831433256337408),Location(5428021293219840),Sahuagin Lagoon - Underwater Lagoon
Path(4702786637791232),Location(6684012370198528),Location(5709056673054720),Eridis Forest - The Bay
Path(4704814671855616),Location(5988277165228032),Location(5928176714776576),Tunnel Climb - Tunnel Climb
Path(4707666190401536),Location(6294339986653184),Location(6146845642326016),Entrance - Mass Crypt
Path(4707673192267776),Location(5077092523311104),Location(5510427447918592),Cathedral of the Spudfather 1 - Cathedral of the Spudfather 2
Path(4707759295561728),Location(5422939977547776),Location(6286945395146752),Old Mine 10 Southwest to South
Path(4708490560143360),Location(5331407216050176),Location(5514354200150016),Script Instance Combat Test To PCA Location
Path(4708500269170688),Location(4555180137250816),Location(5025418272309248),Hole in the Wall to Rat's Nest
Path(4711218270961664),Location(4712253156753408),Location(6430890083221504),Dense Jungle - Dense Jungle Shrine
Path(4713101387890688),Location(5741559626858496),Location(6453809808146432),Raven Ops - Raven Training Grounds
Path(4713116715188224),Location(6111182702772224),Location(6519651913170944),Hollow Forest Walk - Crystal Lake
Path(4713431549083648),Location(4642607941025792),Location(6177538387214336),Someone's Room
Path(4715482313129984),Location(6176624057253888),Location(5287122461786112),Gor'Grub Chieftain's Tent 1 - Gor'Grub Chieftain's Tent 2
Path(4716533353283584),Location(4534253691338752),Location(4709712366403584),Mausoleum of Gol'Shlanek 3 - Mausoleum of Gol'Shlanek 4
Path(4717233495867392),Location(5966051843506176),Location(5542797626572800),Alteru Sphere - A Dark Gate Entrance
Path(4726273397489664),Location(5450053300256768),Location(5855652429168640),AC Kitchen to Interior
Path(4726718045093888),Location(5940601584353280),Location(5993355440291840),Lost Sea Shore - Shore Cave Entrance
Path(4726728514600960),Location(6421058082045952),Location(5687441444831232),Path to Combat Site: Orc Prince
Path(4727913463414784),Location(4532035590291456),Location(4636341170339840),NReward - NHall
Path(4729452193382400),Location(5172868979097600),Location(6652664385634304),Desolate Wasteland - Monster Graveyard
Path(4731777312096256),Location(6516437776072704),Location(5918123464589312),Cavern Entryway to Dark Pathway
Path(4735734724427776),Location(6220002709471232),Location(5391198642503680),Misty basin-Misty Pass
Path(4737816120000512),Location(4526915240591360),Location(5051742795857920),Gulchtop Fortifications - Drub'Lak Tribe Ogre Camp
Path(4737951066488832),Location(6737764410720256),Location(5457132737003520),Sacrosanct Pathway - Dwarven Ruins
Path(4738021473124352),Location(6661507124822016),Location(4526915240591360),Drub'Lak Tribe Ogre Camp - Drub'Lak Chieftain's Tent 1
Path(4740156809543680),Location(5088480938950656),Location(5757922056339456),"Kitchen, Dining Hall"
Path(4740368516251648),Location(4773937385308160),Location(4545027229614080),MGO's Test Area - MGO's Item Spawner Room
Path(4745999633350656),Location(5200647423000576),Location(5694423706894336),Troll Cave(1) - Troll Cave(2)
Path(4750995389415424),Location(6496688202317824),Location(5609234612092928),Sealed Door -> Gloomy Descent
Path(4751660255019008),Location(6215675825094656),Location(5779535989047296),Death Row - Execution Chamber
Path(4752521030008832),Location(6255519904301056),Location(5907800929075200),Blood Forest - Nik's Cut-Through
Path(4754531916709888),Location(5762202513965056),Location(5834038526345216),Rooftop to Stairway 2
Path(4761938795429888),Location(5902676069449728),Location(6686062891499520),Path to Hidden Staircase
Path(4764410720026624),Location(6136783671656448),Location(6745986798977024),Developer Den - Testing Chamber 01
Path(4764714213048320),Location(5056691190104064),Location(4567038813011968),wastes1-4
Path(4767286000877568),Location(4753391580348416),Location(5390229466775552),Sirian Outer Courtyard - Sirian Garrison
Path(4769388158779392),Location(5709261556416512),Location(4861326027390976),Cliffside Coast - Winding River
Path(4773917299310592),Location(5196041382002688),Location(6000580091707392),east des path 2
Path(4774817402191872),Location(5157551064743936),Location(6002887601684480),Aseridith Fort Secret Passage 2 - Aseridith Keep Kitchen Storage (1 of 2)
Path(4774882990882816),Location(6659883848171520),Location(5537766423396352),Hallway 3 to Reward Room
Path(4776340440219648),Location(6547794064310272),Location(4568800104284160),Debuff Instance Flooded Marsh - Flooded Marsh
Path(4778173863034880),Location(5158558446911488),Location(5388596895285248),Nubark Mountain - Dragon's Pass
Path(4779779180462080),Location(4713648428154880),Location(5124605528768512),Atlas Trail Entrance - Jachum's Steps
Path(4781851216445440),Location(6719807435046912),Location(6174236932571136),Aseridith Fort North Beach - Aseridith Fort East Beach
Path(4784585765814272),Location(5769748184301568),Location(5319959529390080),Emerald Jungle1 - Emerald Jungle4
Path(4784935040188416),Location(5910834947031040),Location(5902676069449728),Path to Old Tunnel
Path(4789047713333248),Location(5711399456342016),Location(5485543769243648),Vyper's Public Test - Instance 3
Path(4790929122918400),Location(6002547550846976),Location(5423592838004736),NPit - NHallway2
Path(4792359590035456),Location(6422496643383296),Location(5930610346426368),Hidden Passage 1 - Hidden Passage 2
Path(4792752694362112),Location(4683731928875008),Location(4918619663761408),Mineshaft 5 to Hatchery
Path(4793348894228480),Location(5411322747420672),Location(5144264902180864),Vampire1
Path(4793949110665216),Location(4898631959183360),Location(6571276102533120),"Herbal Garden, East Library"
Path(4794398830231552),Location(5634801146003456),Location(5185517074251776),Nomad Conclave 1 - Mysterious Yurt
Path(4795337869361152),Location(6519992925814784),Location(6317989675139072),Sea Cave - Northern Waterfall
Path(4797175255007232),Location(6004037778407424),Location(6247590374932480),Volantis Countryside - Troll Caves
Path(4797636788092928),Location(5330831291973632),Location(4532035590291456),Nhall - NHallway
Path(4798314899832832),Location(5638699607916544),Location(5664073469394944),Aseridith Keep Grand Hall - Aseridith Knights Quarters
Path(4801043879165952),Location(4897592462278656),Location(5414272397475840),AC Servants Quarters to Wing
Path(4802167989075968),Location(5483169413595136),Location(4649706850615296),Temple Entrance - Cathedral of Destruction
Path(4803488069451776),Location(6098789539512320),Location(6225855610093568),Hallway to King
Path(4804280328912896),Location(5313707255529472),Location(5668612348575744),Infested Tunnel - Baron Cricketon's Lair
Path(4805102489567232),Location(6699801475284992),Location(4701732827299840),Nors Mountain - Gaping Cave
Path(4808216005312512),Location(4553554777866240),Location(6696628299759616),Nors Plains - Nortion Hills
Path(4808357172477952),Location(6462885076664320),Location(5691962943864832),Arena Hallway #3 - Reward Room
Path(4808878038712320),Location(5947260731129856),Location(6402008915640320),Debuff Instance Kayoak Outskirts - Kayoak Village Ascent
Path(4810025327394816),Location(5262537041903616),Location(5157785138364416),Kujir Marsh1 - Kujir Marsh2
Path(4810246027476992),Location(6281973190361088),Location(5356285457334272),Sewer Tunnel Entrance - Aera Inn Basement
Path(4810450646597632),Location(6273947297382400),Location(5038200582045696),Leader's Letter
Path(4810476732022784),Location(5196041382002688),Location(6429358555136000),Des path 3
Path(4810485892907008),Location(4979283929333760),Location(6751859294863360),Mineshaft 2 to Mineshaft 4
Path(4811246138294272),Location(5659313586569216),Location(5138706927190016),Phoenix Battle
Path(4812780479184896),Location(5054881141882880),Location(6662145816657920),Goliath Gulch Fork - Gulchtop Climb
Path(4815416299356160),Location(5652472407785472),Location(5066885376245760),Lycan Territories - Lycan Tribe Village
Path(4817053689315328),Location(5557842132336640),Location(6258957962444800),Xaruk Forest 2 - Xaruk Forest 6
Path(4819403025154048),Location(5481971054018560),Location(4910863291252736),Bandit's Common Room - Bandit's Watch Tower
Path(4829420896387072),Location(5014172941156352),Location(6664887786799104),High Road: Forest - High Road: Waterfall
Path(4830042681507840),Location(5968272768368640),Location(6360201016377344),Stalagmite Cavern - Tunnel Fork
Path(4830800580182016),Location(6085761033043968),Location(6453809808146432),Ops to Burial Site
Path(4835962593214464),Location(4752155970109440),Location(4713019464744960),Grimy Cave -> Ruined City
Path(4838040660869120),Location(6611465540730880),Location(6436005187944448),Winding River - Winding River
Path(4838459706441728),Location(4522237236346880),Location(6659892925431808),Hollow to QCavern
Path(4839856064692224),Location(6228962439069696),Location(4615187055247360),xxx
Path(4840241949048832),Location(5188914373459968),Location(5730683158790144),Drake-Charred
Path(4843358452187136),Location(6740904330133504),Location(4619217262346240),Hub to Altar Room
Path(4847110843531264),Location(4875832497012736),Location(5634472569470976),Summit to Santa
Path(4852245057241088),Location(5930610346426368),Location(5972680490614784),Crypt - Hidden Passage
Path(4852283815755776),Location(6508838653001728),Location(5254780820652032),null
Path(4852307842039808),Location(5795533897859072),Location(6031623049183232),Script Arena Pit #1 - Script Arena Hallway #2
Path(4856874723704832),Location(5552716535300096),Location(5903223313399808),Keep Hallway 2 - Keep Hallway 3
Path(4860476843360256),Location(4519598845067264),Location(6423272366276608),Passage Fork - Long Narrow Passage
Path(4860697379864576),Location(4657767691321344),Location(6745986798977024),Developer Den - Confiscation Station
Path(4860772491984896),Location(4720654552662016),Location(5709053514219520),Arena Pit #4 - Arena Hallway #8
Path(4862770402033664),Location(4703217505009664),Location(5429680583737344),Jungles to Abandoned Hut
Path(4863509013725184),Location(4682133618556928),Location(4942707271139328),Aseridith Fort Courtyard 1 - Aseridith Fort Courtyard 2
Path(4863622475415552),Location(5797029397135360),Location(5769748184301568),Emerald Jungle4 - Emerald Jungle5
Path(4864522053746688),Location(5234434534277120),Location(6451896701419520),Misty Mountains Basin - Misty Mountain Pass
Path(4865598115020800),Location(4796969436577792),Script(5580004989861888),Debuff Instance End 3 - End 4
Path(4865692587524096),Location(6278529125974016),Location(5068160835518464),Glacial Temple - Eternal Hallway
Path(4867160664965120),Location(6347799369089024),Location(5183292001222656),Sewer Fork - Sewer Bend
Path(4869909452423168),Location(5296596736540672),Location(6146845642326016),Entrance - Upper Crypt
Path(4871722937876480),Location(4758522095468544),Location(6177538387214336),Someone's Room
Path(4871954189778944),Location(5005013727838208),Location(5323738888798208),The Mended Drum Beer Link
Path(4872389088247808),Location(6000580091707392),Location(6295812922408960),5 to 2 exit
Path(4874831801090048),Location(5415793401004032),Location(4548855862919168),Path to Book Stand
Path(4876634644545536),Location(6459032935071744),Location(5610315319345152),Wide Hall Stairway - Grand Room
Path(4880410312179712),Location(5090658121678848),Location(4888673191723008),Misty Forest Goblin Camp - Goblin Tent
Path(4880508512108544),Location(4967743391531008),Location(4686268414820352),"Alchemist Quarters, Grand Study"
Path(4882399662178304),Location(5885099774312448),Location(5330831291973632),NHub - NTest1
Path(4883641183764480),Location(6275924844085248),Location(5172614099632128),Emerald Jungle2 - Emerald Jungle3
Path(4891673729433600),Location(6696628299759616),Location(4701732827299840),Nors Mountain - Nors Plains
Path(4892227713105920),Location(5073501505454080),Location(4696875286396928),Old Mine 8 to Darkroom 2
Path(4895394546843648),Location(6708023485530112),Location(6010500529782784),High Road: Swampland - High Road: Dense Forest
Path(4896477642227712),Location(6166932471939072),Location(5795209352314880),Upstairs - Hallway
Path(4897914321371136),Location(5490769058332672),Location(6406519973478400),Debuff Instance Kayoak Village - Old Kayoak Church
Path(4901473731215360),Location(5478083828121600),Location(5478083828121600),Sirian Guardtower 3 - Sirian Guardtower Top
Path(4902268073672704),Location(6216376333107200),Location(4809336524111872),Troll King Cell
Path(4905485434093568),Location(6312860317646848),Location(5814121668804608),Path to house - Weapon Storage
Path(4905666183954432),Location(4889410303164416),Location(6097270970253312),Cavern Lowlands - Rough Tunnel
Path(4905679038971904),Location(6146845642326016),Location(5816090043088896),Crypt Entrance (outside) - Crypt Entrance (inside)
Path(4907575339384832),Location(6429358555136000),Location(5196041382002688),3 to 1
Path(4908753375723520),Location(6519200453492736),Location(5988277165228032),Tunnel Climb - Tunnel Climb
Path(4910407815004160),Location(5145039194030080),Location(5640616411398144),Black Vanguard Outpost Outskirts - Black Vanguard Outpost
Path(4916804964581376),Location(6202368401604608),Location(6014266919878656),Coast 1 - Coast 2
Path(4918431154438144),Location(5120374762110976),Location(5033469437542400),"Second Floor Staircase, Narrow Passageway"
Path(4920049138139136),Location(5091294718722048),Location(5579254207610880),Hollow to Dig
Path(4921632487374848),Location(6215703549968384),Location(5411322747420672),VampJail
Path(4923822861975552),Location(4845275963195392),Location(4688520931180544),Sirian Outer Courtyard 2 - Sirian Blacksmith
Path(4924973282230272),Location(5097344681115648),Location(4754026470309888),Arena Pit 4A to Hallway 4A
Path(4925108368179200),Location(4517876816150528),Location(6502048896122880),Mortachiani Valley -> Mortachiani Highlands
Path(4927831565402112),Location(5142913545142272),Location(5769748184301568),Emerald Jungle4 - Emerald Jungle6
Path(4928120265113600),Location(4611092757086208),Location(4898631959183360),"Potions Laboratory, Herbal Garden"
Path(4928189178052608),Location(4873133300908032),Location(6153253135319040),Path to Sparing Room
Path(4928872235925504),Location(6304554086039552),Location(4675290055835648),Lizardfolk Marsh - Hidden Path
Path(4933924262248448),Location(5390881838333952),Location(6247590374932480),Volantis River - Volantis Countryside
Path(4935718140379136),Location(4605232224403456),Location(5490839199416320),Overgrown Path - Ratargul Swamp
Path(4939908963631104),Location(5644550022365184),Location(6608541406199808),Kujir Marsh5 - Kujir Marsh6
Path(4940320770883584),Location(5754822370263040),Location(5600247461969920),Sirian Outer Gate - Sirian Outer East
Path(4940486918012928),Location(6200092109570048),Location(5485543769243648),Vyper's Public Test - Instance 2
Path(4941597025763328),Location(5262209627717632),Location(6333156464001024),Fort's Luxurious Chambers - Hidden Trail
Path(4942723115122688),Location(4742541412925440),Location(6652731058028544),Dense Jungle - Temple Ruins
Path(4948096899350528),Location(5180093517266944),Location(6632273700978688),Canyon-Cave
Path(4948371461111808),Location(5020118520692736),Location(6177538387214336),Someone's Room
Path(4949113883852800),Location(4895729587847168),Location(5381878680911872),Old Mine 9 to Old Mine 10
Path(4949663623151616),Location(6426849307787264),Location(6192307049332736),Main Corridor - Hidden Staircase
Path(4951286278520832),Location(6415179777572864),Location(6508838653001728),Lake to wilds
Path(4951390476828672),Location(6674999641636864),Location(6024513825538048),Pit Three Hallway to Pit Three
Path(4952672801652736),Location(5735665915396096),Location(5629499534213120),Tutorial 5 - Aera
Path(4953253932695552),Location(4980129958985728),Location(5030142437228544),Descent - Guardian Room
Path(4953632813350912),Location(5056795243446272),Location(4514844928638976),"Astronomy Alcove, Third Floor Landing"
Path(4955504510238720),Location(4587669149712384),Location(6148643405168640),Test me bby one more time
Path(4956338631737344),Location(4844226355396608),Location(6298913263321088),Fisherman's Ferry 3 - Aseridith Island Docks
Path(4957074001231872),Location(6086171007909888),Location(5632197159026688),AC Mysterious Tunnel to Tunnel 2
Path(4958161028513792),Location(6164385145290752),Location(5966051843506176),Dark Passage - Dark Entrance
Path(4958585038045184),Location(6491840832864256),Location(6479938689957888),Trail Head - Sapphire Way
Path(4959554602795008),Location(5355315370917888),Location(6253413332942848),Tomb of Gol'Shlanek 4 - Gol'Shlanek's Crypt
Path(4960271101067264),Location(5632197159026688),Location(5508867374448640),AC Secret Passage to Closet
Path(4961216560889856),Location(4921068011913216),Location(6214821817352192),Right Passage -> Kamil Cavern
Path(4961629856858112),Location(5708064839696384),Location(6179130861682688),Catacombs
Path(4962012308439040),Location(6553692358836224),Location(5612935488995328),North Kyprite Ruins - Kyprite Castle Exterior
Path(4963056891461632),Location(5229413180637184),Location(5041259119116288),Waiting Room One to Arena Entrance
Path(4964733064577024),Location(5961128701591552),Location(6636087694327808),Arena Hallway # 9 - Arena Reward # 3
Path(4970146777006080),Location(5642427740192768),Location(4830392433508352),Tunnel - Outpost
Path(4970577778442240),Location(6166816767344640),Location(5115476184137728),Smoldering Mountain Ascent - Smoldering Mountain Peak
Path(4974912241926144),Location(5210032509026304),Location(6620819140116480),Underwater Passage #1 - Underwater Passage #2
Path(4975463199408128),Location(6648810576543744),Location(5428548292050944),Niks Test Location 1-2
Path(4978345100181504),Location(4630925128499200),Location(6096234356146176),Debuff Instance Eerie Lake - Eerie Lake Shore
Path(4979902546182144),Location(5093891984850944),Location(6415851780046848),Damp Tunnel - Wet Tunnel
Path(4980498484428800),Location(5508867374448640),Location(5855652429168640),Castle Interior to Closet
Path(4982919197097984),Location(4722354780372992),Location(5563011707174912),Illse to shores
Path(4982924557418496),Location(5857622832971776),Location(5205846171582464),Northern Spargus Gate - City Outskirts
Path(4985939407405056),Location(5917286154108928),Location(5928176714776576),Tunnel Climb - Tunnel Climb
Path(4988203928387584),Location(5268467657211904),Location(4589389035864064),Arena Hallway #4 - Arena Pit #2
Path(4988216903991296),Location(5983734354411520),Location(4979321355632640),Sirian Inner Courtyard - Small Garden
Path(4989141167112192),Location(4759477857288192),Location(6589065205907456),Crypt Hub - Locked Entrance
Path(4991484360654848),Location(5976852092420096),Location(5813783324262400),Winding Marsh 1 to Winding Marsh 7
Path(4991946854498304),Location(4607990200008704),Location(4525514647666688),North to Northeast Cemetery
Path(4994005286780928),Location(4794925902200832),Location(6174236932571136),Aseridith Fort North Beach - Aseridith Fort Gates
Path(4995836685582336),Location(6653464683741184),Location(5147963085029376),Winding River
Path(4998510568538112),Location(4942631349518336),Location(5813783324262400),Winding Marsh 2 to Winding Marsh 3
Path(4998626530557952),Location(5532894400872448),Location(4664650326605824),Reward Room #4 - Volantis Arena
Path(4999461016698880),Location(5172614099632128),Location(5319959529390080),Emerald Jungle1 - Emerald Jungle2
Path(4999489647804416),Location(4713395341492224),Location(5071777772601344),Hallway 0 to Reward Room
Path(5002741282766848),Location(6124874771726336),Location(5065774759673856),Siege Camp to Warchief Command Center
Path(5003094036840448),Location(4580320541671424),Location(6362004341653504),Path to Steaming Cave
Path(5004462993178624),Location(6004037778407424),Location(5390881838333952),Volantis River - Troll Caves
Path(5005163142053888),Location(5950401020952576),Location(4809336524111872),Lizardking
Path(5007005073014784),Location(4862839194124288),Location(5905412910219264),Mortachiani Mountain Peak -> Mortachiani Cliff-face
Path(5007056151248896),Location(6413200795107328),Location(5277126379175936),Debuff Instance End 1 - 2
Path(5007458780577792),Location(5354999749541888),Location(5498317707935744),Dense Mangroves to Winding Marsh 1
Path(5007529864331264),Location(4650080137379840),Location(4517876816150528),Mortachiani Highlands -> Mortachiani Lake
Path(5009742986477568),Location(4662926659026944),Location(4622080312082432),Aseridith Fort Guardtower 3 - Aseridith Fort Guardtower Top
Path(5010309362221056),Location(4858846937874432),Location(5098477256179712),I Want Yo Treasure
Path(5014654950572032),Location(6621196929990656),Location(5546617318932480),Volantis - Volantis Town Hall
Path(5015003988230144),Character(6459623120306176),Location(5330831291973632),Test Stuff
Path(5017422601388032),Location(4708530482839552),Location(4992992693190656),Feeder Stream to Secluded Spring
Path(5019500534038528),Location(5268675678961664),Location(5683550997708800),Frigid Stream - Mountainous Lookoff
Path(5023515199668224),Location(5710106524123136),Location(5319127061233664),Dense Jungle - Dense Jungle
Path(5024958459674624),Location(6712913624563712),Location(5323424058572800),Misty Forest-Misty Forest Goblin Camp
Path(5027090594791424),Location(5188338967904256),Location(6177538387214336),Someone's Room
Path(5027225419644928),Location(4927821140459520),Location(6255519904301056),Blood Forest - Mausoleum Courtyard
